date,ticker,open,high,low,close,volume
2026-01-02,AAPL,190.0,190.71,189.33,190.47,43690086
2026-01-02,AMZN,185.0,189.59,184.39,188.89,20889314
2026-01-02,GOOG,175.0,176.11,174.8,175.68,17113468
2026-01-02,MSFT,410.0,412.5,408.14,412.12,57514457
2026-01-02,SPY,550.0,552.22,545.98,547.58,30736645
2026-01-05,AAPL,190.47,191.06,188.21,188.25,47096015
2026-01-05,AMZN,188.89,189.77,188.69,188.84,18307353
2026-01-05,GOOG,175.68,175.86,169.21,169.31,42141844
2026-01-05,MSFT,412.12,412.51,409.65,411.62,20812173
2026-01-05,SPY,547.58,548.69,544.63,546.52,23333800
2026-01-06,AAPL,188.25,193.25,186.35,193.06,34239345
2026-01-06,AMZN,188.84,188.99,185.49,185.64,26192142
2026-01-06,GOOG,169.31,169.72,164.94,165.61,28370477
2026-01-06,MSFT,411.62,412.29,401.61,402.89,31117322
2026-01-06,SPY,546.52,548.47,543.93,545.1,26927089
2026-01-07,AAPL,193.06,193.88,192.33,192.93,37885681
2026-01-07,AMZN,185.64,187.99,185.35,187.52,22542864
2026-01-07,GOOG,165.61,166.64,164.58,164.73,57157338
2026-01-07,MSFT,402.89,411.48,400.41,411.18,49754327
2026-01-07,SPY,545.1,547.11,542.96,546.12,32187283
2026-01-08,AAPL,192.93,193.79,190.86,191.31,18464095
2026-01-08,AMZN,187.52,191.84,186.84,191.14,51255156
2026-01-08,GOOG,164.73,165.48,163.92,163.92,41857928
2026-01-08,MSFT,411.18,412.6,405.46,406.71,33156728
2026-01-08,SPY,546.12,547.62,545.71,547.09,42675583
2026-01-09,AAPL,191.31,193.04,190.65,192.75,54215726
2026-01-09,AMZN,191.14,191.59,190.92,191.41,20036382
2026-01-09,GOOG,163.92,164.09,163.56,163.68,18381200
2026-01-09,MSFT,406.71,408.53,402.55,403.61,24583387
2026-01-09,SPY,547.09,548.43,545.08,547.38,38863595
2026-01-12,AAPL,192.75,199.48,192.58,199.38,19952336
2026-01-12,AMZN,191.41,195.16,191.34,194.76,57024375
2026-01-12,GOOG,163.68,167.27,162.91,167.25,51859604
2026-01-12,MSFT,403.61,405.36,392.28,393.33,30671496
2026-01-12,SPY,547.38,550.63,545.85,549.57,59098664
2026-01-13,AAPL,199.38,203.03,199.2,202.26,53732876
2026-01-13,AMZN,194.76,195.1,191.34,191.34,21675444
2026-01-13,GOOG,167.25,167.8,165.42,165.88,41560380
2026-01-13,MSFT,393.33,393.9,390.56,392.13,42993901
2026-01-13,SPY,549.57,557.5,546.6,555.07,48663293
2026-01-14,AAPL,202.26,202.47,195.05,195.28,30192682
2026-01-14,AMZN,191.34,196.03,191.27,195.77,38201821
2026-01-14,GOOG,165.88,165.99,163.81,164.33,47950119
2026-01-14,MSFT,392.13,394.65,391.8,393.71,59101465
2026-01-14,SPY,555.07,560.47,553.29,559.57,20764308
2026-01-15,AAPL,195.28,196.11,194.1,195.99,46635853
2026-01-15,AMZN,195.77,199.3,195.53,198.78,16348811
2026-01-15,GOOG,164.33,166.12,163.81,165.48,53213804
